,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9057922019382466,0.85434938187144
1,ag_news,ag_news_16_13,0.8263498361221321,0.8664026789517267
2,ag_news,ag_news_16_21,0.9069163207094242,0.8546387852931663
3,ag_news,ag_news_16_42,0.9374541788856304,0.8445415704016142
4,ag_news,ag_news_16_87,0.8763892653835729,0.8394046613163602
5,ag_news,mean,0.8905803606078011,0.8518674155668615
6,ag_news,std,0.03747630186775285,0.009317754873980245
7,,,,
8,ai2_arc,ai2_arc_32_100,0.25,0.2140468227424749
9,ai2_arc,ai2_arc_32_13,0.375,0.2408026755852843
10,ai2_arc,ai2_arc_32_21,0.4375,0.1939799331103679
11,ai2_arc,ai2_arc_32_42,0.40625,0.2107023411371237
12,ai2_arc,ai2_arc_32_87,0.34375,0.1906354515050167
13,ai2_arc,mean,0.3625,0.21003344481605352
14,ai2_arc,std,0.06434768838116875,0.01787343038914701
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9349374749133916
17,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.9319727891156462
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9228437586111876
19,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.8859835816357555
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.8998842662117407
21,amazon_polarity,mean,0.9749755620723363,0.9151243740975443
22,amazon_polarity,std,0.012512218963831857,0.019065485168243617
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
30,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.59375,0.465
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,0.8125,0.495
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.875,0.74
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,0.71875,0.53
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,0.625,0.565
37,blimp-sentential_negation_npi_scope,mean,0.725,0.5589999999999999
38,blimp-sentential_negation_npi_scope,std,0.10716517624676404,0.0965090669315583
39,,,,
40,break-QDMR,break-QDMR_32_100,0.125,0.0296391752577319
41,break-QDMR,break-QDMR_32_13,0.03125,0.0237113402061855
